                          List of relations
       Schema       |           Name           |    Type     | Owner 
--------------------+--------------------------+-------------+-------
 information_schema | sql_features             | table       | whyce
 information_schema | sql_implementation_info  | table       | whyce
 information_schema | sql_parts                | table       | whyce
 information_schema | sql_sizing               | table       | whyce
 pg_catalog         | pg_aggregate             | table       | whyce
 pg_catalog         | pg_am                    | table       | whyce
 pg_catalog         | pg_amop                  | table       | whyce
 pg_catalog         | pg_amproc                | table       | whyce
 pg_catalog         | pg_attrdef               | table       | whyce
 pg_catalog         | pg_attribute             | table       | whyce
 pg_catalog         | pg_auth_members          | table       | whyce
 pg_catalog         | pg_authid                | table       | whyce
 pg_catalog         | pg_cast                  | table       | whyce
 pg_catalog         | pg_class                 | table       | whyce
 pg_catalog         | pg_collation             | table       | whyce
 pg_catalog         | pg_constraint            | table       | whyce
 pg_catalog         | pg_conversion            | table       | whyce
 pg_catalog         | pg_database              | table       | whyce
 pg_catalog         | pg_db_role_setting       | table       | whyce
 pg_catalog         | pg_default_acl           | table       | whyce
 pg_catalog         | pg_depend                | table       | whyce
 pg_catalog         | pg_description           | table       | whyce
 pg_catalog         | pg_enum                  | table       | whyce
 pg_catalog         | pg_event_trigger         | table       | whyce
 pg_catalog         | pg_extension             | table       | whyce
 pg_catalog         | pg_foreign_data_wrapper  | table       | whyce
 pg_catalog         | pg_foreign_server        | table       | whyce
 pg_catalog         | pg_foreign_table         | table       | whyce
 pg_catalog         | pg_index                 | table       | whyce
 pg_catalog         | pg_inherits              | table       | whyce
 pg_catalog         | pg_init_privs            | table       | whyce
 pg_catalog         | pg_language              | table       | whyce
 pg_catalog         | pg_largeobject           | table       | whyce
 pg_catalog         | pg_largeobject_metadata  | table       | whyce
 pg_catalog         | pg_namespace             | table       | whyce
 pg_catalog         | pg_opclass               | table       | whyce
 pg_catalog         | pg_operator              | table       | whyce
 pg_catalog         | pg_opfamily              | table       | whyce
 pg_catalog         | pg_parameter_acl         | table       | whyce
 pg_catalog         | pg_partitioned_table     | table       | whyce
 pg_catalog         | pg_policy                | table       | whyce
 pg_catalog         | pg_proc                  | table       | whyce
 pg_catalog         | pg_publication           | table       | whyce
 pg_catalog         | pg_publication_namespace | table       | whyce
 pg_catalog         | pg_publication_rel       | table       | whyce
 pg_catalog         | pg_range                 | table       | whyce
 pg_catalog         | pg_replication_origin    | table       | whyce
 pg_catalog         | pg_rewrite               | table       | whyce
 pg_catalog         | pg_seclabel              | table       | whyce
 pg_catalog         | pg_sequence              | table       | whyce
 pg_catalog         | pg_shdepend              | table       | whyce
 pg_catalog         | pg_shdescription         | table       | whyce
 pg_catalog         | pg_shseclabel            | table       | whyce
 pg_catalog         | pg_statistic             | table       | whyce
 pg_catalog         | pg_statistic_ext         | table       | whyce
 pg_catalog         | pg_statistic_ext_data    | table       | whyce
 pg_catalog         | pg_subscription          | table       | whyce
 pg_catalog         | pg_subscription_rel      | table       | whyce
 pg_catalog         | pg_tablespace            | table       | whyce
 pg_catalog         | pg_transform             | table       | whyce
 pg_catalog         | pg_trigger               | table       | whyce
 pg_catalog         | pg_ts_config             | table       | whyce
 pg_catalog         | pg_ts_config_map         | table       | whyce
 pg_catalog         | pg_ts_dict               | table       | whyce
 pg_catalog         | pg_ts_parser             | table       | whyce
 pg_catalog         | pg_ts_template           | table       | whyce
 pg_catalog         | pg_type                  | table       | whyce
 pg_catalog         | pg_user_mapping          | table       | whyce
 pg_toast           | pg_toast_1213            | TOAST table | whyce
 pg_toast           | pg_toast_1247            | TOAST table | whyce
 pg_toast           | pg_toast_1255            | TOAST table | whyce
 pg_toast           | pg_toast_1260            | TOAST table | whyce
 pg_toast           | pg_toast_1262            | TOAST table | whyce
 pg_toast           | pg_toast_13457           | TOAST table | whyce
 pg_toast           | pg_toast_13462           | TOAST table | whyce
 pg_toast           | pg_toast_13467           | TOAST table | whyce
 pg_toast           | pg_toast_13472           | TOAST table | whyce
 pg_toast           | pg_toast_1417            | TOAST table | whyce
 pg_toast           | pg_toast_1418            | TOAST table | whyce
 pg_toast           | pg_toast_16385           | TOAST table | whyce
 pg_toast           | pg_toast_16396           | TOAST table | whyce
 pg_toast           | pg_toast_16408           | TOAST table | whyce
 pg_toast           | pg_toast_16418           | TOAST table | whyce
 pg_toast           | pg_toast_16426           | TOAST table | whyce
